,seed,name_data,objective,prior_type,model,sigma_prior,pmin,learning_rate,momentum,learning_rate_prior,momentum_prior,delta,layers,delta_test,mc_samples,kl_penalty,train_epochs,verbose,device,prior_epochs,dropout_prob,perc_train,verbose_test,perc_prior,batch_size,Objective,Dataset,Sigma,LR,LR_prior,dropout,Obj_train,Risk_CE,Risk_01,KL,Train xe loss,Train 01 loss,Empirical xe risk,Empirical 01 risk,Stch loss,Stch 01 error,Post mean loss,Post mean 01 error,Ens loss,Ens 01 error,01 error prior net
20,3,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1536890119314193,0.1817977633416581,0.3547424049128937,0.0645977823893229,"tensor(0.0488, device='cuda:0')",0.1730426099999998,0.059324087726598,0.1909117969166889,0.048625785857439,0.1663,0.0226298663765192,0.0940999999999999,0.0012795608490705,0.0955,0.9003
21,3,mnist,fgrad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,mnist,0.03,0.005,0.005,0.0,0.3172831535339355,0.2128072850359502,0.337169663317995,0.12618271484375,"tensor(0.0300, device='cuda:0')",0.1046390966666667,0.0385705736592558,0.1192857465739328,0.0301467031240463,0.1032999999999999,0.012579383328557,0.0654,0.0008251107647083,0.0642,0.9003
22,3,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.4600420892238617,0.1917041808331216,0.3488373413814261,0.0828255452473958,"tensor(0.0423, device='cuda:0')",0.1492226100000004,0.0521948428897867,0.1661168425711234,0.0423599258065223,0.1453999999999999,0.0199945624917745,0.0887999999999999,0.0011349228443577,0.0908999999999999,0.9003
23,3,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.3267458081245422,0.2282771135084469,0.3406343354444587,0.153021923828125,"tensor(0.0256, device='cuda:0')",0.0890923966666666,0.0335135650332196,0.1027858595627915,0.0257120709866285,0.0891999999999999,0.0103540821000933,0.0547999999999999,0.000707535771653,0.0563,0.9003
24,4,mnist,fgrad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad,mnist,0.03,0.005,0.005,0.0,0.1713407486677169,0.182930564678729,0.3862422306986086,0.0528124308268229,"tensor(0.0587, device='cuda:0')",0.2139950033333339,0.0701487092397836,0.2332700320214931,0.0576681531965732,0.2060999999999999,0.031305082142353,0.1102999999999999,0.0012803935678675,0.1148,0.8847
25,4,mnist,fquad,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad,mnist,0.03,0.005,0.005,0.0,0.2147584855556488,0.188934340495063,0.4579962898429749,0.0321492329915364,"tensor(0.0836, device='cuda:0')",0.3113385300000006,0.0969476653750849,0.3329091145998728,0.0830822139978408,0.3036,0.0487279333174228,0.149,0.0019546274561434,0.1505999999999999,0.8847
26,4,mnist,f_rts,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts,mnist,0.03,0.005,0.005,0.0,0.1557458043098449,0.1841158552032124,0.3620901865420592,0.0657029825846354,"tensor(0.0494, device='cuda:0')",0.1777913233333327,0.0599649122607789,0.195840181324753,0.0483867861330509,0.1726999999999999,0.025285143405199,0.0977,0.0010434706928208,0.1002999999999999,0.8847
27,4,mnist,fgrad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fgrad_acc,mnist,0.03,0.005,0.005,0.0,0.3283373117446899,0.2165577424228251,0.3499974952392378,0.1270564778645833,"tensor(0.0315, device='cuda:0')",0.1130423366666665,0.0401639158778354,0.1281639321882332,0.0309254676103591,0.1090999999999999,0.0145284468308091,0.0628999999999999,0.0006272867321968,0.0692,0.8847
28,4,mnist,fquad_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,fquad_acc,mnist,0.03,0.005,0.005,0.0,0.4977852702140808,0.1990882495047751,0.3768633618783061,0.0829433837890625,"tensor(0.0464, device='cuda:0')",0.1713446699999999,0.0567141336484434,0.1891493923879308,0.0457121804356575,0.1633,0.0236741136759519,0.0918999999999999,0.000922062958125,0.1087,0.8847
29,4,mnist,f_rts_acc,rand,fcn,0.03,1e-05,0.005,0.95,0.005,0.99,0.025,,0.01,5000,1,100,False,cuda,70,0.2,1.0,False,1e-10,250,f_rts_acc,mnist,0.03,0.005,0.005,0.0,0.3412900269031524,0.2310709940106552,0.3512698013547602,0.1527414713541666,"tensor(0.0270, device='cuda:0')",0.0963739866666668,0.0350948875869894,0.1105284754851764,0.0265797991305589,0.0946,0.0118695488199591,0.0545999999999999,0.0005257647135294,0.058,0.8847
